Class Name,Class Code,Department,Units,Class Description,Class URL
Topics in East Asian Philosophy,EAS 117,East Asian Studies,4 Units,"Selected topics in the philosophies of East Asia, e.g., Yoga, Buddhism, Vedanta, Confucianism, Taoism, and Shinto. Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/eas/
Topics in Japanese Literature and Society,EAS 120,East Asian Studies,4 Units,Studies in Japanese texts in their social and cultural context(s). Conducted in English. Repeatability: May be taken for credit 3 times as topics vary.,https://catalogue.uci.edu/allcourses/eas/
Structure of Japanese,EAS 123,East Asian Studies,4 Units,An overview of the linguistic features of modern Japanese. Provides students with a systematic introduction to the nature and characteristics of the language. Same as LSCI 165B.,https://catalogue.uci.edu/allcourses/eas/
Topics in East Asian Linguistics,EAS 126,East Asian Studies,4 Units,"In-depth examination of selected topics in the linguistics of East Asian languages, including Chinese, Japanese, Korean, and Vietnamese. Repeatability: May be taken for credit 3 times as topics vary. 2541",https://catalogue.uci.edu/allcourses/eas/
Topics in Korean Society and Culture,EAS 130,East Asian Studies,4 Units,"Studies of the social and cultural forces that affect the lives of the Koreans, including those in the United States. Considers traditional values and contemporary issues within a historical framework. Repeatability: May be taken for credit 3 times as topics vary.",https://catalogue.uci.edu/allcourses/eas/
Topics in Korean Literature and Society,EAS 140,East Asian Studies,4 Units,Studies in Korean texts in their social and cultural context(s). Conducted in English. Repeatability: May be taken for credit 3 times as topics vary.,https://catalogue.uci.edu/allcourses/eas/
Topics in East Asian Literature in Translation,EAS 150,East Asian Studies,4 Units,East Asian literary works in translation. Taught in English. Repeatability: Unlimited as topics vary.,https://catalogue.uci.edu/allcourses/eas/
Topics in Cultural Studies in East Asia,EAS 155,East Asian Studies,4 Units,Interdisciplinary and theoretical introduction to issues in cultural studies that are pertinent to the study of East Asia. All readings in English. Repeatability: Unlimited as topics vary.,https://catalogue.uci.edu/allcourses/eas/
Topics in East Asian Cinema,EAS 160,East Asian Studies,4 Units,"Study of East Asian cinema from historical, theoretical, and comparative perspectives. Taught in English. Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/eas/
Topics in Gender in East Asia,EAS 170,East Asian Studies,4 Units,"Explores the construction of gender in East Asian cultures and literatures. Pays close attention to the specificity of historical, cultural, and literary contexts of East Asia as it investigates various theoretical and critical perspectives on gender and sexuality. Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/eas/
Junior-Senior Colloquium,EAS 190,East Asian Studies,4 Units,Specialized courses dealing with primary sources; required reports and papers. Each colloquium reflects the instructor's intellectual interest and is conducted as a discussion group. Limited to 15 students. Repeatability: May be taken for credit 3 times as topics vary. Restriction: Upper-division students only. Korean Literature and Culture Majors only. Chinese Studies Majors only. Japanese Language Literature Majors only. East Asian Cultures Majors only.,https://catalogue.uci.edu/allcourses/eas/
Junior-Senior Seminar,EAS 192W,East Asian Studies,4 Units,"Analysis of a literary or cultural topic or problem through research and writing of two short and one long research paper for a minimum of 4,000 total words. Seminar follows EAS 190; related to the colloquium's subject. Prerequisite: EAS 190. Satisfactory completion of the Lower-Division Writing requirement. Repeatability: May be taken for credit 3 times as topics vary. (Ib)",https://catalogue.uci.edu/allcourses/eas/
Independent Study,EAS 199,East Asian Studies,1-4 Units,Investigation of special topics through directed reading in translation. Paper required. Repeatability: May be taken for credit for 12 units.,https://catalogue.uci.edu/allcourses/eas/
Topics in East Asian Religions,EAS 216,East Asian Studies,4 Units,"Selected topics in the religions of East Asia, e.g., Buddhism, Daoism, Shint�, Islam, shamanism. Repeatability: May be taken for credit 3 times as topics vary.",https://catalogue.uci.edu/allcourses/eas/
Topics in East Asian Cultural Studies,EAS 220,East Asian Studies,4 Units,"Seminar, with topics varying from year to year. Research paper required. Repeatability: Unlimited as topics vary. Restriction: Graduate students only. 2542",https://catalogue.uci.edu/allcourses/eas/
Topics in East Asian Applied Linguistics,EAS 225,East Asian Studies,4 Units,"In-depth examination of selected topics in applied linguistics, with a particular emphasis on language acquisition and language pedagogy. Repeatability: May be taken for credit 3 times as topics vary. Concurrent with EALL 125.",https://catalogue.uci.edu/allcourses/eas/
Topics in East Asian Cinema,EAS 260,East Asian Studies,4 Units,An examination of the possibilities of East Asian cinematic narrative. Possible topics: cinematic history; cinema in popular culture; comparisons with literary texts; major auteurs. Emphasis on technical as well as on thematic aspects. Includes readings in film theory. Prerequisite: EAS 160 Repeatability: Unlimited as topics vary.,https://catalogue.uci.edu/allcourses/eas/
Independent Study,EAS 290,East Asian Studies,2-4 Units,Directed research on topic determined in consultation with faculty member. A term paper or project is required. Repeatability: May be repeated for credit unlimited times.,https://catalogue.uci.edu/allcourses/eas/
Dissertation Research,EAS 299,East Asian Studies,4-12 Units,Dissertation research for students who are advanced to doctoral candidacy. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be repeated for credit unlimited times.,https://catalogue.uci.edu/allcourses/eas/
University Teaching,EAS 399,East Asian Studies,4 Units,Limited to Teaching Assistants. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be repeated for credit unlimited times. Restriction: Graduate students only.,https://catalogue.uci.edu/allcourses/eas/
Research in Ecology and Evolutionary Biology,ECO EVO 200A,Ecology and Evolutionary Biology,2-12 Units,Individual research with Ecology and Evolutionary Biological faculty. Repeatability: Unlimited as topics vary. Restriction: Graduate students only.,https://catalogue.uci.edu/allcourses/eco_evo/
Research in Ecology and Evolutionary Biology,ECO EVO 200B,Ecology and Evolutionary Biology,2-12 Units,Individual research with Ecology and Evolutionary Biological faculty. Repeatability: Unlimited as topics vary. Restriction: Graduate students only.,https://catalogue.uci.edu/allcourses/eco_evo/
Research in Ecology and Evolutionary Biology,ECO EVO 200C,Ecology and Evolutionary Biology,2-12 Units,Individual research with Ecology and Evolutionary Biological faculty. Repeatability: Unlimited as topics vary. Restriction: Graduate students only. 2543,https://catalogue.uci.edu/allcourses/eco_evo/
Seminar in Ecology and Evolutionary Biology,ECO EVO 201,Ecology and Evolutionary Biology,2 Units,"Invited speakers, graduate students, and faculty present current research in ecology and evolutionary biology. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be repeated for credit unlimited times. Restriction: Graduate students only. Concurrent with BIO SCI E107.",https://catalogue.uci.edu/allcourses/eco_evo/
Graduate Tutorial in Ecology and Evolutionary Biology,ECO EVO 203A,Ecology and Evolutionary Biology,2-12 Units,"Advanced study in areas not represented by formal courses. May involve individual or small group study through reading, discussion, and composition. Repeatability: Unlimited as topics vary. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Graduate Tutorial in Ecology and Evolutionary Biology,ECO EVO 203B,Ecology and Evolutionary Biology,2-12 Units,"Advanced study in areas not represented by formal courses. May involve individual or small group study through reading, discussion, and composition. Repeatability: Unlimited as topics vary. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Graduate Tutorial in Ecology and Evolutionary Biology,ECO EVO 203C,Ecology and Evolutionary Biology,2-12 Units,"Advanced study in areas not represented by formal courses. May involve individual or small group study through reading, discussion, and composition. Repeatability: Unlimited as topics vary. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Writing Grant Proposals,ECO EVO 204,Ecology and Evolutionary Biology,4 Units,"Provides students with hands-on experience writing proposals in the research areas of ecology, evolution, or physiology. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Special Topics in Ecology,ECO EVO 205,Ecology and Evolutionary Biology,4 Units,Survey of special topics in Ecology. Restriction: Graduate students only.,https://catalogue.uci.edu/allcourses/eco_evo/
Special Topics in Evolution,ECO EVO 206,Ecology and Evolutionary Biology,4 Units,"Extensive introduction to the primary literature of evolutionary biology. Topics include population genetics, quantitative genetics, neutralism, molecular evolution, evolution of genetic systems, genetic architecture of fitness, speciation, and macroevolution. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Quantitative Methods in Ecology and Evolutionary Biology,ECO EVO 207,Ecology and Evolutionary Biology,4 Units,"Statistics for ecologists and evolutionary biologists. Emphasis on specific applications and underlying assumptions rather than on methods of calculation. Topics include experimental design, parametric and nonparametric methods, analysis of variance and covariance, and multiple regression. Prerequisite: Completion of at least one quarter of statistics including regression and analysis of variance. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Ecological and Evolutionary Physiology,ECO EVO 208,Ecology and Evolutionary Biology,4 Units,"A summary of information in organismal biology, comparative and ecological physiology, and the biophysical basis of organismal function. Course offered every other fall. Restriction: Graduate students only. 2544",https://catalogue.uci.edu/allcourses/eco_evo/
Foundations of Physiology,ECO EVO 210,Ecology and Evolutionary Biology,4 Units,Physical and functional principles common to many living forms. Course forms a basis for subsequent specialization in any of the subdisciplines of physiology. Course offered in even years. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be repeated for credit unlimited times. Restriction: Graduate students only.,https://catalogue.uci.edu/allcourses/eco_evo/
Advanced Topics in Ecology,ECO EVO 221,Ecology and Evolutionary Biology,2-4 Units,Weekly discussion of current topics in ecology at the graduate level. Grading Option: Satisfactory/unsatisfactory only. Repeatability: Unlimited as topics vary.,https://catalogue.uci.edu/allcourses/eco_evo/
Statistical Learning in Ecology and Evolution,ECO EVO 222,Ecology and Evolutionary Biology,4 Units,"Reviews basic principals of variance/bias trade-offs. Topics include models for prediction and classification, variable selection methods, cross-validation, tree based methods, unsupervised learning. Applications in ecology and evolution using R. Prerequisite: ECO EVO 207. ECO EVO 207 with a grade of B or better Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Plant Physiological Ecology,ECO EVO 227,Ecology and Evolutionary Biology,4 Units,"Provides a summary of information on plant organismal biology, comparative and ecological physiology, and functional ecology. Offered every other fall. Repeatability: May be repeated for credit unlimited times. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Topics in Microbial Ecology,ECO EVO 230,Ecology and Evolutionary Biology,2-4 Units,"Weekly discussion of current topics in ecology, biogeochemistry, evolution, and physiology of microbial organisms. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be repeated for credit unlimited times.",https://catalogue.uci.edu/allcourses/eco_evo/
Communication Skills for Environmental Scholars,ECO EVO 231,Ecology and Evolutionary Biology,4 Units,"Students learn to communicate with non-specialist audiences about climate and environmental issues. Hands-on activities build technical, presentation, and contextual skills required for effective communication across a range of media types and careers.",https://catalogue.uci.edu/allcourses/eco_evo/
Experimental Evolution,ECO EVO 235,Ecology and Evolutionary Biology,2 Units,"Explores experimental evolution, which is now a well-established part of evolutionary biology. With the advent of genomics, it is now one of the most powerful tools for studying the genetic foundations of biology. Prerequisite: BIO SCI E106 Repeatability: May be repeated for credit unlimited times. Restriction: Graduate students only. School of Biological Sciences students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Human Dimensions in Conservation and Restoration,ECO EVO 236,Ecology and Evolutionary Biology,4 Units,"The non-human �environment� we know today is the result of past social, political, scientific, and economic forces. Examines the forces that drove environmental conservation efforts, which often sought progress at the expense of local cultures. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Marine Conservation Ecology,ECO EVO 237,Ecology and Evolutionary Biology,4 Units,"Theory-based seminar tackles pressing issues in marine ecology, conservation, and restoration. Focuses on the science of marine ecosystems, resources and tools for their conservation, and management and the socioeconomic and policy dimensions. Restriction: Graduate students only. 2545",https://catalogue.uci.edu/allcourses/eco_evo/
Seminar in Ecology and Evolution Education,ECO EVO 246,Ecology and Evolutionary Biology,2 Units,"Weekly discussion of teaching techniques and challenges that are specific to courses in ecology and evolutionary biology. Emphasis will be on using evidence-based pedagogy techniques. There will be a combination of readings, group discussions and speakers. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be repeated for credit unlimited times. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Behavioral Endocrinology,ECO EVO 247,Ecology and Evolutionary Biology,4 Units,Comparative examination of the major hormone systems that regulate behavior across animals. Emphasizes the reciprocating nature of hormonebehavior interactions and seeks to understand how natural selection drives the evolution of hormone structure and function. Restriction: Graduate students only. Concurrent with BIO SCI E147.,https://catalogue.uci.edu/allcourses/eco_evo/
Functional and Structural Evolutionary Genomics,ECO EVO 253,Ecology and Evolutionary Biology,4 Units,Function and organization of genomes analyzed from an evolutionary perspective. Review of some of the most recent experimental approaches in genome analysis and comparative genomics. Relevant software to analyze DNA and expression data is used. Concurrent with BIO SCI E153.,https://catalogue.uci.edu/allcourses/eco_evo/
Professional Workshop,ECO EVO 262,Ecology and Evolutionary Biology,2 Units,Identify and attend professional or technical skill workshops to gain professional knowledge and certifications related to conservation and restoration science. Repeatability: May be taken for credit 4 times. Restriction: Graduate students only.,https://catalogue.uci.edu/allcourses/eco_evo/
Conservation Biology,ECO EVO 264,Ecology and Evolutionary Biology,4 Units,Explores concepts in ecology with potential for conserving biological diversity. Identifies creative applications of ecological research that mitigate impacts of rapid human population growth and habitat destruction on biodiversity. Restriction: Graduate students only.,https://catalogue.uci.edu/allcourses/eco_evo/
Restoration Ecology,ECO EVO 265,Ecology and Evolutionary Biology,4 Units,"Study of principles and practices that help recover degraded ecosystems including restoration in different ecological systems, restoration motives and intensities, implementation and monitoring, and scope and success of case studies. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Field Methods in Restoration,ECO EVO 266L,Ecology and Evolutionary Biology,4 Units,"Laboratory experience performing field methods that help recover degraded ecosystems in different ecological systems. Emphasis on the plant community composition, soil, irrigation, maintenance, and monitoring of a project.",https://catalogue.uci.edu/allcourses/eco_evo/
Science Communication,ECO EVO 267,Ecology and Evolutionary Biology,2 Units,"Develops students' abilities to convey information related to conservation and restoration in a way that has broad appeal and/or effective messaging for non-scientific audiences by assessing the audience, developing effective storytelling, and deploying a persuasive information campaign. Repeatability: May be taken for credit 2 times.",https://catalogue.uci.edu/allcourses/eco_evo/
Technical Writing,ECO EVO 268,Ecology and Evolutionary Biology,2 Units,"Practice developing key documents for restoration projects including a response to a request for proposal (RFP), a restoration project plan, and a monitoring and maintenance plan.",https://catalogue.uci.edu/allcourses/eco_evo/
Project Management,ECO EVO 269,Ecology and Evolutionary Biology,2 Units,"Discover the planning, design, implementation, and aftercare phases of managing a conservation or restoration project. Students will project cost, manage risk, analyze sites, evaluate and review projects, and become familiar with common permitting and consultation requirements.",https://catalogue.uci.edu/allcourses/eco_evo/
GIS for Environmental Science,ECO EVO 270,Ecology and Evolutionary Biology,4 Units,"Introduction to the fundamental principles of GIS. Topics include cartography, creating/editing GIS data, georeferencing, map projections, geospatial analysis, spatial statistics, and development of GIS models. Focuses on theory and practice. Restriction: Graduate students only. 2546",https://catalogue.uci.edu/allcourses/eco_evo/
Marine Research and Conservation Methods,ECO EVO 271,Ecology and Evolutionary Biology,4 Units,"Field-based introduction to marine ecology and conservation management through the study of the ecology, resource management, and conservation of marine habitats and species, and the use of a variety of marine field research methods. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Wildlife Ecology and Sampling,ECO EVO 275,Ecology and Evolutionary Biology,4 Units,"Field-based introduction to wildlife management through the study of the ecology, physiology, population biology management, and conservation of vertebrate wildlife species, and the use of a variety of different wildlife sampling techniques. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Fundamentals of Informatics for Biologists,ECO EVO 282,Ecology and Evolutionary Biology,4 Units,Students learn the fundamentals of bioinformatics and the unix operating system (including the shell and Sun Grid Engine) in order to assemble a eukaryotic genome. Restriction: Graduate students only.,https://catalogue.uci.edu/allcourses/eco_evo/
Advanced Informatics for Biologists,ECO EVO 283,Ecology and Evolutionary Biology,4 Units,"Students learn advanced informatics including the analysis of: Poolseq, RNAseq, ATACseq, and ChiPseq datasets using programs such as bwa, tophat, cufflinks, DEseq, Trinity, Agustus, etc., in a unix high-performance computing environment. Statistical tests carried out and publication quality. Prerequisite: ECO EVO 282 Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Topics in Evolutionary Genetics,ECO EVO 285,Ecology and Evolutionary Biology,2 Units,Weekly discussion of recent research on evolutionary genetics. Repeatability: May be repeated for credit unlimited times. Restriction: Graduate students only.,https://catalogue.uci.edu/allcourses/eco_evo/
MCRS Capstone,ECO EVO 286,Ecology and Evolutionary Biology,2-12 Units,"Apply knowledge and skills in a practical professional setting, working with practitioners to identify a conservation or management problem and then to plan, implement, and evaluate a solution. Repeatability: May be taken for credit for 12 units. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/eco_evo/
Teaching Science in Secondary School,ECO EVO 341,Ecology and Evolutionary Biology,4 Units,"Prospective secondary science teachers learn how to teach science in grades 7-12. Covers State science requirements, a variety of teaching methods, criteria for selecting science curricular materials, and how to plan science lessons, units, experiments, projects, and demonstrations. Same as EDUC 341. Restriction: Master of Arts in Teaching Degree students only.",https://catalogue.uci.edu/allcourses/eco_evo/
University Teaching,ECO EVO 399,Ecology and Evolutionary Biology,4 Units,"Mandatory course for Ecology and Evolutionary Biology Teaching Assistants, required in each quarter in which student has a Teaching Assistant position. Limited to Teaching Assistants. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be repeated for credit unlimited times.",https://catalogue.uci.edu/allcourses/eco_evo/
Introduction to Economics,ECON 1,Economics,4 Units,"An analysis of the problems society faces in organizing itself to provide goods and services. How decisions of government, business, and the individual relate to current economic problems such as unemployment, inflation, poverty, and environmental pollution. Restriction: No Economics Majors. ECON 1 may not be taken for credit if taken concurrently or after ECON 20A or ECON 20B. (III)",https://catalogue.uci.edu/allcourses/econ/
The Internet and Public Policy,ECON 11,Economics,4 Units,"How the Internet works. Current public policy issues concerning the Internet. Introductory economics. Communications law. Interactions between information technology, economics, and law. Case studies about Internet and communications policy. Same as ICS 11. (II or III ).",https://catalogue.uci.edu/allcourses/econ/
"Federal Reserve: Past, Present, and Future",ECON 12,Economics,4 Units,"Studies central banking in the United States from colonial times to the present. Focuses on the past, present, and future of the Federal Reserve and precursors to that system, which was established in 1913.",https://catalogue.uci.edu/allcourses/econ/
Global Economy,ECON 13,Economics,4 Units,Acquaints students with the fundamental patterns of the global economy. Emphasizes the historical roots and political implications of economic choices. Same as IS 13. Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment. (III and VIII ).,https://catalogue.uci.edu/allcourses/econ/
Probability and Statistics in Economics I,ECON 15A,Economics,4 Units,"An introduction to probability, statistics, and econometrics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Examples from economics. Prerequisite: MATH 2A and MATH 2B Overlaps with MGMT 7. Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. (Va)",https://catalogue.uci.edu/allcourses/econ/
Probability and Statistics in Economics II,ECON 15B,Economics,4 Units,"An introduction to probability, statistics, and econometrics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Examples from economics. Prerequisite: ECON 15A Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. (Va)",https://catalogue.uci.edu/allcourses/econ/
An Economic Approach to Religion,ECON 17,Economics,4 Units,"Introduction to how basic economic concepts such as demand, supply, consumption, production, competition, free-riding, innovation, regulation, and rent-seeking can be applied to understand observed religious behavior. Same as RLGN 17. (III) 2548",https://catalogue.uci.edu/allcourses/econ/
Basic Economics I,ECON 20A,Economics,4 Units,"The fundamentals of microeconomics. The behavior of firms and consumers: markets, supply/demand, utility maximization, resource allocation, and efficiency. Overlaps with MGMT 4A, ECON 23. Restriction: Economics, Quantitative Economics, Business Economics, and Business Info Management majors have first consideration for enrollment. For School of Social Sciences majors, MGMT 4A may not be used as a substitute for ECON 20A. (III)",https://catalogue.uci.edu/allcourses/econ/
Basic Economics II,ECON 20B,Economics,4 Units,"The fundamentals of macroeconomics. Government behavior: monetary and fiscal policy, inflation, and unemployment. Effective fall 2006, the content of Economics 20B is macroeconomics. This course cannot be taken to repeat Economics 20B taken prior to fall 2006. Prerequisite: ECON 20A or ECON 13 or ECON 23 Overlaps with MGMT 4B. Restriction: Business Information Mgmt Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment. Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment. For School of Social Sciences majors, MGMT 4B may not be used as a substitute for ECON 20B. (III)",https://catalogue.uci.edu/allcourses/econ/
Basic Economics for Engineers,ECON 23,Economics,4 Units,"The fundamentals of microeconomics. The behavior of firms and of consumers: markets, supply/demand, utility maximization, resource allocation, and efficiency. Overlaps with ECON 20A. Restriction: Engineering Majors only. Mechanical Engineering Majors only. Aerospace Engineering Majors only. Civil Engineering Majors only. Environmental Engineering Majors only. (III)",https://catalogue.uci.edu/allcourses/econ/
The Economics of Accounting Decisions,ECON 25,Economics,4 Units,"Introduction to accounting concepts and principles, including the accounting model and accounting style, transaction analysis, and preparation of financial statements. An analysis of the similarities and differences between accounting and economic concepts (e.g., value, profits). Prerequisite: ECON 20A Overlaps with MGMT 30A. Restriction: Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
Intermediate Economics I,ECON 100A,Economics,4 Units,"Determinants of supply and demand; operation of competitive and monopolistic markets; imperfections of the market system, explanations of unemployment, inflation, recessions; public policy for macroeconomic problems. Prerequisite: ECON 20A and ECON 20B and MATH 2A and MATH 2B Overlaps with ECON 105A. Restriction: No Quantitative Economics Majors. Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. 2549",https://catalogue.uci.edu/allcourses/econ/
Intermediate Economic II,ECON 100B,Economics,4 Units,"Determinants of supply and demand; operation of competitive and monopolistic markets; imperfections of the market system, explanations of unemployment, inflation, recessions; public policy for macroeconomic problems. Prerequisite: ECON 100A Overlaps with ECON 105B. Restriction: No Quantitative Economics Majors. Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
Intermediate Economics III,ECON 100C,Economics,4 Units,"Determinants of supply and demand; operation of competitive and monopolistic markets; imperfections of the market system, explanations of unemployment, inflation, recessions; public policy for macroeconomic problems. Prerequisite: ECON 100B Overlaps with ECON 105C. Restriction: No Quantitative Economics Majors. Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
Intermediate Quantitative Economics I,ECON 105A,Economics,4 Units,An advanced and mathematical version of ECON 100A for students in the Quantitative Economics major. Prerequisite: ECON 20A and ECON 20B and MATH 2A and MATH 2B and MATH 3A Overlaps with ECON 100A. Restriction: No Business Economics Majors. No Economics Majors. Quantitative Economics Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/econ/
Intermediate Quantitative Economics II,ECON 105B,Economics,4 Units,An advanced and mathematical version of ECON 100B for students in the Quantitative Economics major. Prerequisite: ECON 105A Overlaps with ECON 100B. Restriction: No Business Economics Majors. No Economics Majors. Quantitative Economics Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/econ/
Intermediate Quantitative Economics III,ECON 105C,Economics,4 Units,An advanced and mathematical version of ECON 100C for students in the Quantitative Economics major. Prerequisite: ECON 105B Overlaps with ECON 100C. Restriction: No Business Economics Majors. No Economics Majors. Quantitative Economics Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/econ/
Economics of Asymmetric Information,ECON 107,Economics,4 Units,"Focuses on the effects of asymmetric information in the markets for traditional economic goods and resources, such as labor, insurance, used cars, credit, and in auctions and bargaining problems. Prerequisite:. Prerequisite: ECON 100A or ECON 105A Restriction: Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
Special Topics in Economic Theory,ECON 109,Economics,4 Units,Studies in selected areas of Economics. Topics addressed vary each quarter. Prerequisite: Prerequisites vary. Repeatability: May be repeated for credit unlimited times. Restriction: Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment. 2550,https://catalogue.uci.edu/allcourses/econ/
Behaviorial Economics,ECON 115,Economics,4 Units,Studies the behavioral and psychological biases in economics settings. Both individual decisions and games are discussed. Prerequisite: ECON 20A and ECON 20B Restriction: Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/econ/
Game Theory I,ECON 116A,Economics,4 Units,"Extensive form games with perfect information, and coalitional games. The key solution concepts are Nash Equilibrium, Backward Induction, and the Core. Substantive examples include public good production, oligopoly, electoral competition, auctions, holdup, market entry, and voting. Prerequisite: (ECON 15B or STAT 120B) and (ECON 100A or ECON 105A) Restriction: Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
Game Theory II,ECON 116B,Economics,4 Units,"Two-quarter sequence on game theory. Bayesian games, extensive form games with imperfect information, zero-sum games. Prerequisite: ECON 116A Restriction: Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
Applied Econometrics I,ECON 122A,Economics,4 Units,"Introduction to econometrics emphasizing practical applications in microeconomics and macroeconomics. Prerequisite or corequisite: ECON 100A or ECON 105A and (ECON 15B or MATH 130B or MATH 133A or STAT 120C) Overlaps with ECON 123A, ECON 123B. Restriction: No Quantitative Economics Majors. Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
Applied Econometrics II,ECON 122B,Economics,4 Units,Introduction to econometrics emphasizing practical applications in microeconomics and macroeconomics. Prerequisite: ECON 122A Overlaps with ECON 123B. Restriction: No Quantitative Economics Majors. Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/econ/
Data Analysis Writing,ECON 122CW,Economics,4 Units,Research writing course in econometrics focusing on individual research projects. Students employ econometric analysis to address an economic question in a 20-page paper and present their findings to the class in a short presentation. Prerequisite: ECON 15A and ECON 15B and ECON 122A and ECON 122B. Satisfactory completion of the Lower-Division Writing requirement. Restriction: Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. (Ib),https://catalogue.uci.edu/allcourses/econ/
Econometrics I,ECON 123A,Economics,4 Units,"Specification, estimation, and testing of econometric models. Applications in various areas of microeconomics and macroeconomics. Prerequisite: MATH 2A and MATH 2B and MATH 3A and (STAT 120C or MATH 130C) and (ECON 100A and ECON 100B and ECON 100C) or (ECON 105A and ECON 105B and ECON 105C) Overlaps with ECON 122A, ECON 122B. Restriction: No Business Economics Majors. No Economics Majors. Quantitative Economics Majors have first consideration for enrollment. 2551",https://catalogue.uci.edu/allcourses/econ/
Econometrics II,ECON 123B,Economics,4 Units,"Specification, estimation, and testing of econometric models. Applications in various areas of microeconomics and macroeconomics. Prerequisite: ECON 123A Restriction: No Business Economics Majors. No Economics Majors. Quantitative Economics Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/econ/
